date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2024-11-20,2024,11,20,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,0-12,323,47.2,4537,473,0
2020-08-12,2020,8,12,Africa,Kenya,Antibiotic,Azithromycin,0-12,314,90.39,4609,127,1
2020-01-22,2020,1,22,Europe,France,Vitamin,Multivitamin,65+,805,32.2,4375,150,1
2022-06-01,2022,6,1,East Asia,China,Chronic,Metformin,65+,325,28.46,4689,50,0
2022-12-03,2022,12,3,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,65+,354,34.42,4571,548,0
2023-11-23,2023,11,23,South America,Brazil,Vitamin,Vitamin C,65+,375,32.92,4440,591,0
2025-05-17,2025,5,17,North America,Canada,Chronic,Amlodipine,65+,470,64.92,4718,38,0
2021-04-15,2021,4,15,Middle East,UAE,Vitamin,Multivitamin,26-45,972,13.96,3899,333,1
2025-03-27,2025,3,27,South America,Argentina,Antibiotic,Amoxicillin,26-45,544,74.26,4447,204,0
2020-11-12,2020,11,12,Africa,Kenya,Antibiotic,Amoxicillin,46-65,622,34.25,4320,312,1
2021-08-16,2021,8,16,Europe,Germany,Cough_Cold,Cough Syrup,46-65,182,24.26,5010,387,1
2023-01-31,2023,1,31,South Asia,India,Chronic,Amlodipine,46-65,274,41.25,4690,643,0
2025-12-15,2025,12,15,Europe,UK,Antipyretic,Paracetamol,13-25,201,88.63,4976,206,0
2022-08-07,2022,8,7,North America,USA,Chronic,Amlodipine,46-65,246,75.72,4575,504,0
2022-07-28,2022,7,28,Europe,Germany,Antipyretic,Paracetamol,46-65,224,15.12,4920,479,0
2023-11-06,2023,11,6,Africa,Kenya,Antibiotic,Amoxicillin,13-25,350,92.7,4576,670,0
2022-09-27,2022,9,27,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,280,17.6,4551,253,0
2023-12-09,2023,12,9,Oceania,Australia,Cough_Cold,Cough Syrup,65+,163,85.81,4810,383,0
2020-06-21,2020,6,21,South America,Brazil,Antibiotic,Azithromycin,65+,362,73.32,4815,446,1
2021-08-11,2021,8,11,Middle East,UAE,Antibiotic,Azithromycin,26-45,376,53.87,4772,711,1
2024-09-27,2024,9,27,South Asia,India,Cough_Cold,Cough Syrup,0-12,325,19.83,4532,647,0
2023-03-09,2023,3,9,South America,Argentina,Chronic,Metformin,26-45,692,92.95,4308,290,0
2020-01-06,2020,1,6,Middle East,UAE,Vitamin,Multivitamin,0-12,572,37.87,4460,474,1
2024-01-24,2024,1,24,South America,Brazil,Antipyretic,Ibuprofen,26-45,540,42.8,4555,337,0
2021-03-01,2021,3,1,East Asia,China,Cough_Cold,Cetirizine,0-12,843,50.19,4036,535,1
2023-04-08,2023,4,8,Oceania,New Zealand,Cough_Cold,Cough Syrup,0-12,470,8.77,4641,677,0
2024-08-02,2024,8,2,South America,Argentina,Antibiotic,Azithromycin,13-25,206,86.29,4747,647,0
2024-10-11,2024,10,11,South America,Argentina,Antipyretic,Ibuprofen,0-12,213,32.92,4963,176,0
2020-01-09,2020,1,9,Europe,UK,Antibiotic,Azithromycin,46-65,709,41.16,4310,542,1
2020-12-07,2020,12,7,South America,Brazil,Antibiotic,Azithromycin,46-65,418,80.2,4459,241,1
2021-06-07,2021,6,7,Africa,Kenya,Chronic,Metformin,13-25,738,54.65,4378,399,1
2025-11-11,2025,11,11,North America,Canada,Vitamin,Vitamin C,0-12,269,95.86,4539,143,0
2022-12-04,2022,12,4,Africa,Kenya,Antibiotic,Azithromycin,0-12,300,27.61,4677,472,0
2021-05-02,2021,5,2,Africa,Kenya,Antibiotic,Azithromycin,0-12,3516,95.62,1611,123,1
2020-07-15,2020,7,15,South Asia,Bangladesh,Cough_Cold,Cetirizine,0-12,479,26.96,4692,271,1
2022-06-22,2022,6,22,Africa,Nigeria,Chronic,Amlodipine,13-25,449,56.61,4648,255,0
2025-10-19,2025,10,19,Middle East,UAE,Cough_Cold,Cough Syrup,0-12,194,86.08,4657,379,0
2020-02-23,2020,2,23,Middle East,UAE,Chronic,Metformin,46-65,1025,60.09,4079,44,1
2025-05-18,2025,5,18,Middle East,UAE,Antibiotic,Azithromycin,46-65,533,38.52,4432,617,0
2023-12-09,2023,12,9,Middle East,UAE,Cough_Cold,Cough Syrup,65+,380,93.92,4622,256,0
2022-08-27,2022,8,27,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,0-12,237,49.68,4754,610,0
2024-12-26,2024,12,26,Europe,Germany,Cough_Cold,Cetirizine,26-45,341,25.41,4552,40,0
2024-06-15,2024,6,15,Europe,France,Chronic,Metformin,46-65,437,21.76,4419,324,0
2021-10-24,2021,10,24,South America,Brazil,Vitamin,Vitamin C,65+,401,80.06,4619,216,1
2023-06-28,2023,6,28,Africa,Kenya,Chronic,Amlodipine,13-25,248,72.93,4723,430,0
2024-07-23,2024,7,23,South Asia,Sri Lanka,Vitamin,Vitamin C,46-65,212,14.31,4745,347,0
2021-08-11,2021,8,11,North America,Canada,Cough_Cold,Cough Syrup,13-25,424,90.9,4728,475,1
2020-05-05,2020,5,5,North America,USA,Antibiotic,Amoxicillin,26-45,424,50.38,4683,704,1
2022-06-27,2022,6,27,Oceania,Australia,Chronic,Amlodipine,13-25,487,8.39,4423,122,0
2025-02-22,2025,2,22,South Asia,Sri Lanka,Antipyretic,Ibuprofen,46-65,588,59.86,4340,660,0
2021-12-16,2021,12,16,South America,Argentina,Vitamin,Vitamin C,26-45,312,46.25,4817,260,1
2020-03-20,2020,3,20,Europe,France,Antibiotic,Amoxicillin,0-12,734,47.46,4068,720,1
2022-03-11,2022,3,11,South America,Argentina,Chronic,Amlodipine,0-12,277,24.86,4560,590,0
2025-07-24,2025,7,24,East Asia,China,Cough_Cold,Cough Syrup,46-65,420,54.34,4454,622,0
2022-09-08,2022,9,8,Middle East,Saudi Arabia,Antipyretic,Paracetamol,26-45,246,24.05,4675,435,0
2025-07-15,2025,7,15,South America,Argentina,Cough_Cold,Cetirizine,0-12,429,89.41,4550,116,0
2023-12-12,2023,12,12,East Asia,South Korea,Antibiotic,Azithromycin,65+,416,14.95,4744,49,0
2023-06-11,2023,6,11,Oceania,New Zealand,Cough_Cold,Cetirizine,65+,336,69.72,4657,52,0
2021-04-13,2021,4,13,South Asia,Bangladesh,Cough_Cold,Cough Syrup,26-45,472,98.79,4618,633,1
2021-05-07,2021,5,7,Oceania,New Zealand,Vitamin,Vitamin C,65+,714,77.19,4168,412,1
2023-04-13,2023,4,13,East Asia,Japan,Chronic,Metformin,0-12,556,65.29,4265,146,0
2023-02-05,2023,2,5,South America,Argentina,Antipyretic,Ibuprofen,46-65,256,97.48,4574,556,0
2020-05-09,2020,5,9,South Asia,Bangladesh,Antibiotic,Azithromycin,65+,531,34.58,4302,93,1
2021-08-11,2021,8,11,East Asia,China,Chronic,Amlodipine,13-25,387,92.45,4806,133,1
2022-09-29,2022,9,29,South Asia,Sri Lanka,Cough_Cold,Cetirizine,0-12,137,64.1,4744,56,0
2025-07-29,2025,7,29,Europe,UK,Antipyretic,Paracetamol,26-45,375,44.44,4574,343,0
2023-05-14,2023,5,14,East Asia,South Korea,Antipyretic,Ibuprofen,13-25,412,23.69,4543,217,0
2020-01-18,2020,1,18,East Asia,China,Vitamin,Multivitamin,46-65,686,83.77,4319,672,1
2020-03-06,2020,3,6,Middle East,UAE,Antibiotic,Azithromycin,46-65,571,8.68,4285,540,1
2024-02-09,2024,2,9,North America,Canada,Chronic,Amlodipine,46-65,359,42.7,4585,383,0
2025-01-29,2025,1,29,South America,Brazil,Vitamin,Multivitamin,26-45,521,59.67,4502,414,0
2022-09-14,2022,9,14,Oceania,New Zealand,Chronic,Amlodipine,0-12,275,71.13,4677,528,0
2020-04-03,2020,4,3,Middle East,UAE,Vitamin,Vitamin C,13-25,542,57.34,4301,301,1
2025-01-19,2025,1,19,Europe,France,Antipyretic,Paracetamol,13-25,244,91.58,4874,463,0
2020-09-27,2020,9,27,East Asia,South Korea,Cough_Cold,Cough Syrup,13-25,554,68.03,4347,269,1
2022-10-06,2022,10,6,Europe,Germany,Cough_Cold,Cetirizine,13-25,216,54.22,4679,504,0
2025-11-28,2025,11,28,North America,USA,Cough_Cold,Cough Syrup,0-12,159,92.06,4719,704,0
2020-03-25,2020,3,25,Europe,UK,Antipyretic,Ibuprofen,13-25,576,33.87,4236,594,1
2020-02-14,2020,2,14,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,65+,423,21.47,4427,309,1
2022-12-30,2022,12,30,North America,Canada,Antipyretic,Ibuprofen,0-12,224,32.89,4739,211,0
2024-02-07,2024,2,7,North America,Canada,Vitamin,Vitamin C,46-65,679,42.21,4191,341,0
2021-05-03,2021,5,3,Oceania,New Zealand,Vitamin,Vitamin C,65+,575,94.86,4399,357,1
2022-01-17,2022,1,17,South America,Brazil,Antibiotic,Amoxicillin,13-25,538,6.97,4512,56,0
2024-10-09,2024,10,9,North America,Canada,Cough_Cold,Cough Syrup,13-25,201,5.95,4941,38,0
2021-07-02,2021,7,2,South Asia,India,Cough_Cold,Cetirizine,13-25,616,33.89,4420,495,1
2023-03-15,2023,3,15,Europe,France,Antipyretic,Ibuprofen,13-25,341,46.35,4582,61,0
2025-03-28,2025,3,28,South Asia,India,Chronic,Metformin,46-65,430,94.14,4392,568,0
2025-10-23,2025,10,23,North America,USA,Cough_Cold,Cough Syrup,26-45,137,27.13,4776,615,0
2024-07-05,2024,7,5,North America,Canada,Chronic,Amlodipine,46-65,388,6.88,4647,368,0
2025-10-21,2025,10,21,Europe,UK,Cough_Cold,Cough Syrup,26-45,263,31.63,4737,457,0
2024-01-14,2024,1,14,Europe,UK,Antipyretic,Paracetamol,46-65,294,39.37,4815,411,0
2024-03-10,2024,3,10,East Asia,China,Chronic,Metformin,13-25,394,92.21,4623,557,0
2023-02-03,2023,2,3,South Asia,India,Cough_Cold,Cough Syrup,13-25,512,98.22,4401,490,0
2021-07-02,2021,7,2,Middle East,Saudi Arabia,Vitamin,Vitamin C,46-65,396,21.31,4426,692,1
2022-05-18,2022,5,18,Oceania,Australia,Antipyretic,Paracetamol,13-25,305,48.63,4641,511,0
2020-07-05,2020,7,5,North America,USA,Vitamin,Multivitamin,46-65,579,87.46,4615,533,1
2023-03-26,2023,3,26,South America,Argentina,Vitamin,Vitamin C,65+,294,74.91,4683,467,0
2025-06-09,2025,6,9,South America,Brazil,Chronic,Amlodipine,26-45,480,70.3,4592,418,0
2022-01-29,2022,1,29,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,65+,582,64.71,4523,171,0
2025-12-31,2025,12,31,East Asia,China,Antipyretic,Paracetamol,65+,180,76.48,4828,429,0
2022-11-12,2022,11,12,Europe,UK,Vitamin,Vitamin C,46-65,356,34.44,4643,509,0
2023-07-13,2023,7,13,Middle East,Saudi Arabia,Chronic,Amlodipine,0-12,2130,22.62,2873,46,0
2022-09-29,2022,9,29,South Asia,Sri Lanka,Chronic,Amlodipine,13-25,104,67.43,4722,309,0
2021-05-24,2021,5,24,Oceania,Australia,Antipyretic,Ibuprofen,0-12,767,77.44,4420,690,1
2022-08-24,2022,8,24,Oceania,Australia,Antibiotic,Azithromycin,46-65,298,68.67,4708,716,0
2021-02-14,2021,2,14,North America,USA,Vitamin,Vitamin C,13-25,487,66.75,4666,228,1
2022-07-02,2022,7,2,Oceania,New Zealand,Vitamin,Multivitamin,65+,198,43.37,4689,365,0
2021-09-17,2021,9,17,Africa,Kenya,Antipyretic,Paracetamol,0-12,228,27.25,4780,711,1
2023-01-16,2023,1,16,Middle East,UAE,Antipyretic,Ibuprofen,65+,421,20.85,4451,353,0
2020-01-06,2020,1,6,Oceania,New Zealand,Antipyretic,Ibuprofen,26-45,677,14.66,4374,207,1
2023-12-17,2023,12,17,Oceania,Australia,Antipyretic,Ibuprofen,26-45,366,82.39,4624,653,0
2025-03-21,2025,3,21,Europe,UK,Vitamin,Multivitamin,46-65,561,59.92,4561,83,0
2024-08-18,2024,8,18,South America,Argentina,Antipyretic,Paracetamol,46-65,214,76.91,4701,366,0
2023-05-28,2023,5,28,South America,Argentina,Vitamin,Vitamin C,65+,378,80.16,4539,233,0
2021-05-06,2021,5,6,North America,USA,Cough_Cold,Cetirizine,65+,723,20.01,4109,444,1
2022-04-06,2022,4,6,South Asia,Bangladesh,Chronic,Amlodipine,13-25,555,89.35,4567,275,0
2022-09-14,2022,9,14,East Asia,China,Chronic,Metformin,26-45,131,61.25,4782,513,0
2025-12-30,2025,12,30,East Asia,South Korea,Antibiotic,Amoxicillin,26-45,321,11.89,4579,238,0
2021-06-29,2021,6,29,North America,Canada,Cough_Cold,Cetirizine,65+,438,65.26,4512,288,1
2024-05-16,2024,5,16,Middle East,UAE,Vitamin,Multivitamin,46-65,506,20.24,4378,171,0
2020-11-01,2020,11,1,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,26-45,423,92.1,4524,615,1
2021-01-21,2021,1,21,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,907,6.56,4038,257,1
2025-09-18,2025,9,18,Oceania,Australia,Antipyretic,Paracetamol,0-12,204,6.61,4672,473,0
2023-02-28,2023,2,28,East Asia,China,Cough_Cold,Cetirizine,65+,516,87.72,4479,563,0
2020-01-28,2020,1,28,Oceania,New Zealand,Antibiotic,Azithromycin,13-25,845,70.71,4342,435,1
2021-04-25,2021,4,25,Oceania,New Zealand,Antibiotic,Amoxicillin,46-65,432,23.08,4370,263,1
2025-11-04,2025,11,4,Oceania,Australia,Chronic,Amlodipine,13-25,245,34.89,4756,213,0
2024-08-17,2024,8,17,Oceania,Australia,Antibiotic,Azithromycin,13-25,189,28.5,4845,178,0
2024-09-10,2024,9,10,East Asia,Japan,Antibiotic,Azithromycin,65+,63,96.03,4844,494,0
2021-09-21,2021,9,21,Middle East,Saudi Arabia,Antibiotic,Azithromycin,26-45,261,34.51,4918,180,1
2024-11-27,2024,11,27,Europe,France,Antibiotic,Amoxicillin,65+,253,42.66,4560,639,0
2024-12-30,2024,12,30,South America,Argentina,Cough_Cold,Cough Syrup,65+,312,73.94,4786,331,0
2021-04-21,2021,4,21,Europe,Germany,Antibiotic,Azithromycin,13-25,775,55.78,4120,635,1
2021-01-19,2021,1,19,East Asia,China,Chronic,Amlodipine,0-12,553,46.06,4320,550,1
2020-06-01,2020,6,1,Europe,France,Antipyretic,Ibuprofen,46-65,682,71.95,4274,72,1
2025-05-05,2025,5,5,South America,Brazil,Antipyretic,Ibuprofen,13-25,374,86.32,4787,85,0
2024-02-14,2024,2,14,North America,USA,Chronic,Amlodipine,65+,521,91.78,4460,372,0
2021-09-04,2021,9,4,Europe,France,Chronic,Amlodipine,65+,442,90.11,4535,433,1
2023-02-27,2023,2,27,East Asia,China,Chronic,Amlodipine,26-45,508,41.28,4618,324,0
2024-05-04,2024,5,4,Europe,UK,Cough_Cold,Cetirizine,26-45,373,25.58,4823,89,0
2023-07-27,2023,7,27,South Asia,Sri Lanka,Vitamin,Vitamin C,13-25,151,77.94,4843,694,0
2021-09-03,2021,9,3,South Asia,India,Chronic,Amlodipine,65+,380,47.44,4463,348,1
2020-08-15,2020,8,15,Europe,UK,Cough_Cold,Cetirizine,46-65,532,85.71,4585,714,1
2022-03-15,2022,3,15,South America,Brazil,Antipyretic,Paracetamol,26-45,347,37.86,4515,37,0
2025-12-20,2025,12,20,South Asia,Bangladesh,Antibiotic,Azithromycin,26-45,363,22.72,4822,134,0
2024-06-26,2024,6,26,East Asia,Japan,Chronic,Metformin,0-12,388,79.02,4759,608,0
2024-02-11,2024,2,11,East Asia,Japan,Antibiotic,Azithromycin,13-25,529,25.29,4480,571,0
2024-01-06,2024,1,6,Africa,Kenya,Cough_Cold,Cetirizine,0-12,255,81.18,4746,413,0
2025-05-31,2025,5,31,Oceania,New Zealand,Vitamin,Vitamin C,46-65,465,61.07,4729,64,0
2020-11-02,2020,11,2,North America,USA,Antibiotic,Azithromycin,26-45,580,63.01,4249,48,1
2021-10-12,2021,10,12,South America,Argentina,Chronic,Amlodipine,26-45,489,80.41,4361,709,1
2022-05-07,2022,5,7,Europe,France,Vitamin,Vitamin C,65+,408,66.84,4529,227,0
2022-04-06,2022,4,6,North America,USA,Vitamin,Vitamin C,65+,250,49.79,4765,147,0
2022-06-20,2022,6,20,Africa,Nigeria,Chronic,Amlodipine,26-45,306,51.17,4671,584,0
2023-04-02,2023,4,2,Europe,UK,Vitamin,Vitamin C,26-45,541,43.89,4280,185,0
2021-03-12,2021,3,12,North America,USA,Vitamin,Vitamin C,65+,948,8.3,3960,189,1
2020-04-25,2020,4,25,Africa,Kenya,Antipyretic,Ibuprofen,13-25,458,16.31,4628,112,1
2025-02-16,2025,2,16,North America,USA,Vitamin,Multivitamin,0-12,485,41.77,4681,583,0
2020-05-30,2020,5,30,South America,Argentina,Chronic,Metformin,65+,545,72.1,4371,264,1
2022-10-11,2022,10,11,Africa,Kenya,Antipyretic,Ibuprofen,0-12,308,31.9,4722,489,0
2022-06-18,2022,6,18,North America,Canada,Vitamin,Vitamin C,65+,424,79.98,4770,292,0
2023-03-01,2023,3,1,Oceania,Australia,Chronic,Metformin,26-45,320,71.21,4681,719,0
2024-08-05,2024,8,5,South America,Argentina,Chronic,Amlodipine,65+,260,34.07,4601,687,0
2021-04-02,2021,4,2,South America,Argentina,Cough_Cold,Cough Syrup,0-12,699,83.85,4352,429,1
2025-09-22,2025,9,22,North America,Canada,Antipyretic,Paracetamol,46-65,119,64.34,5050,474,0
2021-06-17,2021,6,17,Europe,Germany,Chronic,Metformin,46-65,747,13.69,4236,358,1
2021-10-08,2021,10,8,Africa,Nigeria,Antipyretic,Paracetamol,65+,203,68.72,4859,129,1
2024-12-20,2024,12,20,South Asia,Bangladesh,Antibiotic,Amoxicillin,46-65,330,39.87,4784,515,0
2020-12-09,2020,12,9,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,65+,444,97.28,4547,547,1
2020-07-16,2020,7,16,South America,Brazil,Chronic,Amlodipine,46-65,372,90.97,4783,119,1
2025-03-03,2025,3,3,Africa,Kenya,Antipyretic,Ibuprofen,13-25,491,87.26,4514,203,0
2023-09-02,2023,9,2,Africa,Nigeria,Vitamin,Vitamin C,65+,195,63.37,4879,249,0
2021-05-30,2021,5,30,South Asia,Sri Lanka,Antipyretic,Paracetamol,46-65,631,94.5,4249,707,1
2023-08-18,2023,8,18,Europe,UK,Vitamin,Vitamin C,13-25,240,10.92,4647,698,0
2024-06-26,2024,6,26,Middle East,Saudi Arabia,Chronic,Amlodipine,65+,248,72.8,4628,383,0
2021-06-14,2021,6,14,North America,USA,Antibiotic,Azithromycin,46-65,441,35.01,4664,683,1
2021-03-18,2021,3,18,North America,USA,Vitamin,Vitamin C,0-12,990,56.62,4155,609,1
2024-02-23,2024,2,23,Oceania,Australia,Vitamin,Multivitamin,65+,345,73.64,4492,484,0
2020-07-22,2020,7,22,Africa,Kenya,Chronic,Metformin,46-65,612,31.36,4563,691,1
2024-09-26,2024,9,26,South Asia,Bangladesh,Antipyretic,Ibuprofen,46-65,216,26.04,4623,526,0
2024-01-02,2024,1,2,East Asia,South Korea,Chronic,Metformin,26-45,317,38.36,4664,569,0
2021-02-08,2021,2,8,Europe,Germany,Cough_Cold,Cetirizine,0-12,841,79.52,4093,168,1
2022-08-03,2022,8,3,Middle East,UAE,Cough_Cold,Cough Syrup,0-12,254,75.24,4857,710,0
2021-07-04,2021,7,4,East Asia,Japan,Antipyretic,Paracetamol,0-12,279,19.91,4710,60,1
2025-11-25,2025,11,25,South Asia,India,Cough_Cold,Cetirizine,65+,251,69.25,4658,126,0
2023-01-11,2023,1,11,Middle East,Saudi Arabia,Antipyretic,Paracetamol,0-12,478,22.56,4634,80,0
2023-06-14,2023,6,14,Europe,France,Antipyretic,Ibuprofen,13-25,442,61.39,4453,340,0
2023-01-07,2023,1,7,East Asia,South Korea,Cough_Cold,Cough Syrup,13-25,296,63.39,4778,658,0
2025-12-19,2025,12,19,South America,Argentina,Antipyretic,Ibuprofen,46-65,479,24.24,4647,43,0
2024-11-17,2024,11,17,Middle East,Saudi Arabia,Chronic,Metformin,26-45,175,15.76,4731,559,0
2024-02-04,2024,2,4,Oceania,Australia,Chronic,Amlodipine,13-25,596,10.27,4530,377,0
2025-11-19,2025,11,19,North America,Canada,Chronic,Amlodipine,13-25,293,44.2,4590,508,0
2023-12-02,2023,12,2,East Asia,Japan,Chronic,Metformin,26-45,428,93.05,4682,112,0
2023-12-26,2023,12,26,Middle East,Saudi Arabia,Vitamin,Multivitamin,46-65,191,98.88,4718,664,0
2021-05-04,2021,5,4,Africa,Kenya,Cough_Cold,Cough Syrup,0-12,795,41.93,4106,152,1
2025-09-11,2025,9,11,Middle East,UAE,Vitamin,Vitamin C,65+,139,85.8,4773,567,0
2020-01-01,2020,1,1,Middle East,UAE,Chronic,Amlodipine,26-45,672,64.37,4401,689,1
2021-01-09,2021,1,9,Oceania,Australia,Antibiotic,Azithromycin,13-25,720,27.45,4286,351,1
2025-03-18,2025,3,18,South America,Argentina,Cough_Cold,Cetirizine,13-25,591,5.43,4592,473,0
2022-06-03,2022,6,3,Middle East,Saudi Arabia,Chronic,Metformin,0-12,277,85.73,4667,533,0
2021-08-10,2021,8,10,Europe,UK,Cough_Cold,Cough Syrup,46-65,279,28.06,4768,486,1
2022-12-31,2022,12,31,East Asia,Japan,Cough_Cold,Cough Syrup,0-12,333,93.44,4747,379,0
2022-05-08,2022,5,8,Africa,Nigeria,Antipyretic,Ibuprofen,0-12,275,68.98,4860,520,0
2023-07-02,2023,7,2,Oceania,New Zealand,Cough_Cold,Cough Syrup,46-65,361,97.26,4819,718,0
2022-12-19,2022,12,19,South America,Brazil,Chronic,Amlodipine,26-45,228,27.79,4701,538,0
2025-02-22,2025,2,22,Africa,Nigeria,Chronic,Metformin,13-25,587,16.74,4530,354,0
2025-11-12,2025,11,12,South America,Argentina,Antipyretic,Ibuprofen,26-45,300,48.45,4876,226,0
2021-04-07,2021,4,7,South America,Brazil,Antipyretic,Paracetamol,26-45,399,63.36,4746,346,1
2025-08-12,2025,8,12,Europe,Germany,Chronic,Metformin,26-45,269,70.21,4815,474,0
2023-04-07,2023,4,7,Africa,Nigeria,Vitamin,Multivitamin,13-25,419,86.29,4479,381,0
2025-10-30,2025,10,30,Africa,Nigeria,Chronic,Amlodipine,46-65,254,92.68,4725,75,0
2022-11-23,2022,11,23,East Asia,South Korea,Vitamin,Vitamin C,65+,322,67.97,4735,531,0
2022-07-29,2022,7,29,South Asia,Sri Lanka,Vitamin,Multivitamin,0-12,150,91.6,4945,33,0
2022-10-17,2022,10,17,North America,Canada,Antipyretic,Ibuprofen,0-12,215,38.77,4685,115,0
2020-04-16,2020,4,16,South America,Brazil,Vitamin,Multivitamin,0-12,444,85.99,4458,213,1
2020-01-23,2020,1,23,North America,USA,Antipyretic,Ibuprofen,46-65,736,15.78,4296,142,1
2020-12-20,2020,12,20,Middle East,UAE,Chronic,Metformin,65+,363,37.11,4559,297,1
2025-02-06,2025,2,6,South Asia,India,Antipyretic,Paracetamol,0-12,348,19.52,4546,405,0
2025-06-23,2025,6,23,South America,Brazil,Antibiotic,Azithromycin,0-12,408,91.19,4658,205,0
2022-02-21,2022,2,21,South America,Brazil,Antibiotic,Amoxicillin,26-45,477,58.23,4583,134,0
2025-10-20,2025,10,20,Middle East,Saudi Arabia,Vitamin,Multivitamin,26-45,301,9.12,4841,202,0
2020-07-16,2020,7,16,North America,Canada,Antibiotic,Azithromycin,65+,692,98.14,4348,480,1
2024-01-13,2024,1,13,Oceania,Australia,Cough_Cold,Cetirizine,0-12,337,83.72,4791,182,0
2023-09-26,2023,9,26,Oceania,New Zealand,Vitamin,Multivitamin,65+,142,11.27,4888,64,0
2025-11-15,2025,11,15,Oceania,New Zealand,Chronic,Amlodipine,13-25,418,98.56,4470,596,0
2023-06-05,2023,6,5,Africa,Kenya,Vitamin,Multivitamin,26-45,314,78.81,4698,482,0
2025-01-12,2025,1,12,South America,Argentina,Antipyretic,Paracetamol,46-65,527,99.56,4394,228,0
2025-05-16,2025,5,16,Europe,Germany,Antipyretic,Paracetamol,46-65,365,11.96,4771,112,0
2025-03-09,2025,3,9,South Asia,Bangladesh,Chronic,Amlodipine,13-25,329,78.74,4666,226,0
2021-09-11,2021,9,11,South Asia,Sri Lanka,Antipyretic,Ibuprofen,26-45,276,99.81,4814,139,1
2020-12-02,2020,12,2,Europe,France,Chronic,Metformin,0-12,330,70.0,4820,117,1
2023-11-25,2023,11,25,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,26-45,341,80.33,4529,42,0
2025-03-13,2025,3,13,Oceania,Australia,Antibiotic,Azithromycin,65+,564,84.41,4478,111,0
2023-10-06,2023,10,6,Africa,Nigeria,Chronic,Metformin,13-25,187,41.2,4658,404,0
2023-08-06,2023,8,6,Europe,Germany,Antipyretic,Ibuprofen,26-45,258,30.19,4798,176,0
2021-07-13,2021,7,13,Oceania,New Zealand,Chronic,Metformin,26-45,474,10.43,4711,503,1
2023-08-31,2023,8,31,East Asia,China,Chronic,Amlodipine,13-25,259,84.49,4709,675,0
2020-11-04,2020,11,4,South Asia,India,Antipyretic,Paracetamol,65+,220,57.7,4917,470,1
2022-11-08,2022,11,8,East Asia,South Korea,Antipyretic,Ibuprofen,65+,3080,34.24,1861,564,0
2021-11-14,2021,11,14,Europe,Germany,Vitamin,Multivitamin,26-45,353,16.92,4630,622,1
2023-12-13,2023,12,13,Africa,Kenya,Cough_Cold,Cetirizine,0-12,424,26.14,4419,107,0
2020-04-24,2020,4,24,Middle East,UAE,Antipyretic,Ibuprofen,0-12,405,72.16,4688,304,1
2023-03-19,2023,3,19,South America,Argentina,Chronic,Metformin,0-12,282,30.16,4679,694,0
2020-12-21,2020,12,21,South Asia,Sri Lanka,Antipyretic,Paracetamol,0-12,3084,79.17,2013,168,1
2024-06-04,2024,6,4,Middle East,UAE,Antibiotic,Azithromycin,0-12,450,24.72,4599,276,0
2024-02-18,2024,2,18,Oceania,New Zealand,Vitamin,Multivitamin,46-65,547,79.07,4320,495,0
2021-10-23,2021,10,23,Oceania,Australia,Antibiotic,Amoxicillin,65+,392,84.12,4573,504,1
2024-12-02,2024,12,2,North America,Canada,Cough_Cold,Cetirizine,13-25,328,55.03,4806,361,0
2021-04-16,2021,4,16,South Asia,Sri Lanka,Antipyretic,Ibuprofen,65+,643,13.07,4454,354,1
2025-11-08,2025,11,8,Middle East,UAE,Antipyretic,Ibuprofen,0-12,358,99.93,4816,537,0
2021-03-25,2021,3,25,Middle East,UAE,Cough_Cold,Cetirizine,0-12,927,57.19,4160,397,1
2020-01-08,2020,1,8,North America,Canada,Antibiotic,Amoxicillin,65+,481,51.42,4502,619,1
2023-11-29,2023,11,29,East Asia,South Korea,Vitamin,Multivitamin,0-12,457,99.61,4638,536,0
2020-02-09,2020,2,9,North America,USA,Chronic,Metformin,65+,894,19.7,4050,551,1
2023-01-09,2023,1,9,East Asia,China,Cough_Cold,Cough Syrup,13-25,485,92.2,4432,478,0
2025-10-23,2025,10,23,South America,Argentina,Antipyretic,Paracetamol,0-12,194,51.43,4940,427,0
2024-03-03,2024,3,3,Africa,Nigeria,Antipyretic,Ibuprofen,46-65,365,20.1,4794,151,0
2022-07-18,2022,7,18,East Asia,Japan,Chronic,Amlodipine,65+,373,34.92,4646,315,0
2021-02-16,2021,2,16,Africa,Nigeria,Antibiotic,Amoxicillin,65+,584,8.14,4263,561,1
2022-12-15,2022,12,15,Europe,France,Antipyretic,Ibuprofen,26-45,238,77.32,4665,602,0
2021-06-24,2021,6,24,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,0-12,787,50.9,4131,407,1
